Layer	cos-sim
conv1	0.976627
Res2A	0.88002
Res2B	0.836359
Res2C	0.80856
Res3A	0.682875
Res3B	0.670908
Res3C	0.640669
Res3D	0.691308
Res4A	0.587994
Res4B	0.565158
Res4C	0.546174
Res4D	0.53048
Res4E	0.530311
Res4F	0.583606
Res5A	0.477789
Res5B	0.458376
Res5C	0.423451
